,epi_len,epi_rew,total_step,ave_loss
127,88.0,-17.824952721174864,11264.0,0.015025640393353322
128,88.0,-13.45943424987959,11352.0,0.011092716446993027
129,88.0,-15.162689857950909,11440.0,0.013107984157448465
130,88.0,-14.508628374167257,11528.0,0.011262445689433
131,88.0,-16.382400660073664,11616.0,0.012669796102934262
132,88.0,-6.868021382742155,11704.0,0.016293278556655754
133,88.0,-8.994549694503974,11792.0,0.011854523792862892
134,88.0,-13.371807384406237,11880.0,0.012855452189052647
135,88.0,-10.641600991610765,11968.0,0.007435686928643422
136,88.0,-11.424896846780715,12056.0,0.007372367243409495
137,88.0,-20.504476369802333,12144.0,0.007599262160841714
138,88.0,-13.537996312202376,12232.0,0.009100831611166623
139,88.0,-10.334734491390924,12320.0,0.008007522407834504
140,88.0,-20.136613767515907,12408.0,0.00656649404713376
141,88.0,-17.062187088902906,12496.0,0.007649147004651075
142,88.0,-8.511378300756334,12584.0,0.008615274109284986
143,88.0,-17.179756200337344,12672.0,0.007547424577007239
144,88.0,-13.81603877690112,12760.0,0.00806026500438086
145,88.0,-16.829830227805846,12848.0,0.006758407403884286
146,88.0,-3.6306452081371967,12936.0,0.005602046291724863
147,88.0,-10.885803502091028,13024.0,0.005844511054667898
148,88.0,-13.408470837165828,13112.0,0.004931824768639423
149,88.0,-13.241636671746285,13200.0,0.00480756894632412
150,88.0,-14.603263361695955,13288.0,0.004314146218927239
151,88.0,-14.498781998608614,13376.0,0.005573982822666453
152,88.0,-12.37731409659089,13464.0,0.005028430705847727
153,88.0,-9.30175752920366,13552.0,0.0059433011020618405
154,88.0,-10.361289733198982,13640.0,0.005204752161675556
155,88.0,-13.5476407882539,13728.0,0.005324824615275826
156,88.0,-13.352847769035936,13816.0,0.004576201219937171
157,88.0,-6.466743288429255,13904.0,0.0040763503083408896
158,88.0,-8.2406073732376,13992.0,0.0038194672828963535
159,88.0,-4.629570225667204,14080.0,0.004325617110060359
160,88.0,-17.430690107715122,14168.0,0.005097455535592003
161,88.0,-16.04459866218432,14256.0,0.00397514043090103
162,88.0,-6.9115660112593105,14344.0,0.00453111389122734
163,88.0,-5.783482956851554,14432.0,0.0034805536799302154
164,88.0,-2.531091026031349,14520.0,0.004396144575862722
165,88.0,-15.476200397495315,14608.0,0.0037023505217141724
166,88.0,-12.628484692197238,14696.0,0.003949166198832576
167,88.0,-18.484906011429665,14784.0,0.00477461933306503
168,88.0,-15.90074744676647,14872.0,0.004917779794513163
169,88.0,-15.36705665671928,14960.0,0.0043463883074847135
170,88.0,-13.10698744469711,15048.0,0.006388095503842289
171,88.0,-14.001857332388349,15136.0,0.004625256406143308
172,88.0,-9.888707807284874,15224.0,0.004307255318219011
173,88.0,-14.603929304959541,15312.0,0.0031983602305196905
174,88.0,-14.964914225196825,15400.0,0.004929180765016513
175,88.0,-14.821553644386626,15488.0,0.003579500332390043
176,88.0,-6.224846782237822,15576.0,0.003110136111817238
177,88.0,-13.324018609590361,15664.0,0.003623772759138691
178,88.0,-13.447828584448123,15752.0,0.0029622177879156716
179,88.0,-11.380053402410413,15840.0,0.003704823504614813
180,88.0,-15.9389599171773,15928.0,0.003084380989259278
181,88.0,-12.093092095974171,16016.0,0.003060899050482972
182,88.0,-17.243298532455007,16104.0,0.0038228198801251974
183,88.0,-3.5873559882348536,16192.0,0.00323346623388881
184,88.0,-17.403764462064753,16280.0,0.0036469278910027988
185,88.0,-11.095512451310437,16368.0,0.0048542760249057956
186,88.0,-13.757107349987578,16456.0,0.004065379283433272
187,88.0,-7.029047115647554,16544.0,0.002898528894134374
188,88.0,-10.596488396549615,16632.0,0.003217452200425958
189,88.0,-15.167873284638738,16720.0,0.003051076843720776
190,88.0,-17.48759154464459,16808.0,0.00281933647188866
191,88.0,-20.091789442270066,16896.0,0.0032813920406624675
192,88.0,-5.6878096690772235,16984.0,0.002705878287088126
193,88.0,-17.941013779468467,17072.0,0.00267009741880677
194,88.0,-9.82597792650539,17160.0,0.00197703100010668
195,88.0,-8.29036349693187,17248.0,0.0024446990811900996
196,88.0,-14.073335628916851,17336.0,0.001907608582934534
197,88.0,-12.019838755646942,17424.0,0.0022716016868468037
198,88.0,-10.447760704952938,17512.0,0.003130204838023267
199,88.0,-2.4009045610231663,17600.0,0.0022129872628614644
200,88.0,-15.631156162053085,17688.0,0.0024258209503552116
201,88.0,-9.971740028660783,17776.0,0.0026355227812680164
202,88.0,-6.876088850572139,17864.0,0.002871407111260024
203,88.0,-13.370517829969094,17952.0,0.002680941651554101
204,88.0,-8.800694954252599,18040.0,0.002296698377573524
205,88.0,-19.52828044254942,18128.0,0.0027618104756005446
206,88.0,-7.674361860293497,18216.0,0.0019124233883551576
207,88.0,-3.1657678893648096,18304.0,0.002254049362487752
208,88.0,-12.214688074497733,18392.0,0.003182647710094567
209,88.0,-8.500971284149923,18480.0,0.0026874611133032226
210,88.0,-13.809170036846005,18568.0,0.0021758856389417565
211,88.0,-8.878574895576172,18656.0,0.0023085505818016827
212,88.0,-10.889275409333406,18744.0,0.0021425020981537687
213,88.0,-5.2092136709314545,18832.0,0.002320708288938146
214,88.0,-10.526051330401959,18920.0,0.0024707765418993818
215,88.0,-13.8286063916192,19008.0,0.0017639356771145356
216,88.0,-8.533626098253412,19096.0,0.002680587473812259
217,88.0,-6.408441666169366,19184.0,0.0016514568335630677
218,88.0,-7.310263347374628,19272.0,0.0021143062278332018
219,88.0,-14.746777225521118,19360.0,0.0012877997823207725
220,88.0,-8.338790148180452,19448.0,0.0021349395551210778
221,88.0,-15.481767849718974,19536.0,0.002136079700325023
222,88.0,-8.31164503216428,19624.0,0.002196753484895453
223,88.0,-9.882880292792088,19712.0,0.0018096100221472707
224,88.0,-6.831593998980974,19800.0,0.002849812745063735
225,88.0,-7.445265480052601,19888.0,0.0019921654972925103
226,88.0,-8.366234562927826,19976.0,0.0013659565672490069
227,88.0,-7.446164901733734,20064.0,0.0021554827002215793
228,88.0,-11.449093416843123,20152.0,0.0020809563231358134
229,88.0,-8.681594159513837,20240.0,0.002171905922957442
230,88.0,-10.207268227761475,20328.0,0.0018158679066056554
231,88.0,-13.467442760925362,20416.0,0.00219840370118618
232,88.0,-9.452990117293698,20504.0,0.001715654634277929
233,88.0,-13.848052355709973,20592.0,0.0016428226874929599
234,88.0,-12.085071790520855,20680.0,0.0020438786384395576
235,88.0,-9.954698562811846,20768.0,0.0015103501990035345
236,88.0,-8.230686083531944,20856.0,0.0013943328178191389
237,88.0,-1.547376227191968,20944.0,0.0018007185188418423
238,88.0,-12.143396170136121,21032.0,0.0016872168740850282
239,88.0,-10.91234093435909,21120.0,0.0012358352965251966
240,88.0,-13.595384752739136,21208.0,0.002062238075516441
241,88.0,-2.9850827553773867,21296.0,0.0017390048147221519
242,88.0,-9.197321964805841,21384.0,0.0015069407871289347
243,88.0,-4.712812088067954,21472.0,0.0020582773511044
244,88.0,-2.1076877132612344,21560.0,0.001581476850498637
245,88.0,-13.057888713001159,21648.0,0.0012885850433535366
246,88.0,-5.97831791398807,21736.0,0.0011736320461337032
247,88.0,-13.825567368310534,21824.0,0.001960375626698475
248,88.0,-4.359960976279332,21912.0,0.0018808321143627506
249,88.0,-11.908624888172561,22000.0,0.001265638039595532
250,88.0,-4.962280756108246,22088.0,0.0017236489220522344
251,88.0,-11.048575880156342,22176.0,0.0017550809729569169
252,88.0,-7.794388572239459,22264.0,0.002786605722080408
253,88.0,-17.166939356941278,22352.0,0.0028459021281874316
254,88.0,-12.144811351282712,22440.0,0.0019187907376114956
255,88.0,-8.5020091899259,22528.0,0.002067745120836083
256,88.0,-17.465109486502968,22616.0,0.0015440358917906203
257,88.0,-10.480504854261023,22704.0,0.0012203453860076313
258,88.0,-13.943311769500015,22792.0,0.0014711768414020878
259,88.0,-15.011344777569574,22880.0,0.0012767465007279745
260,88.0,-5.40257048205828,22968.0,0.00261499557051469
261,88.0,-13.583730677367496,23056.0,0.0010340067330451513
262,88.0,-9.585743755383842,23144.0,0.001106944398171353
263,88.0,-5.357503049425237,23232.0,0.0009289707860179161
264,88.0,-8.038218843081598,23320.0,0.0017111775946845723
265,88.0,-11.209384717216084,23408.0,0.0015635506107090887
266,88.0,-6.479429462557964,23496.0,0.0018911082376937636
267,88.0,-7.116224748348262,23584.0,0.0021632903662975878
268,88.0,-13.809892382887544,23672.0,0.0017307750901884654
269,88.0,-12.179088032621765,23760.0,0.002266038341490044
270,88.0,-17.62826082377191,23848.0,0.002220306804784658
271,88.0,-14.087808275757071,23936.0,0.0011193433376981623
272,88.0,-8.263299079653379,24024.0,0.0014292401928369973
273,88.0,-10.116595964930266,24112.0,0.001632525072306056
274,88.0,-12.170492718197071,24200.0,0.0014424903360618787
275,88.0,-3.2782128498948078,24288.0,0.0023459305203604426
276,88.0,-7.59327150130608,24376.0,0.00225952045399357
277,88.0,-6.856041693293925,24464.0,0.0020741702941119333
278,88.0,-9.558647401438593,24552.0,0.0018471028994430196
279,88.0,-7.818091423684659,24640.0,0.0023384308865801854
280,88.0,-4.531552799731248,24728.0,0.0029376043477730655
281,88.0,-15.822355953687365,24816.0,0.003107200297315351
282,88.0,-12.962349783491128,24904.0,0.0035822224454022944
283,88.0,-2.447644515665773,24992.0,0.00308233533393253
284,88.0,-11.214190392209993,25080.0,0.0018427324724722314
285,88.0,-11.284934607697226,25168.0,0.001291811410655183
286,88.0,-13.917387078505946,25256.0,0.0016969242212574252
287,88.0,-11.885036094904786,25344.0,0.0015282576020002705
288,88.0,-5.099738428930336,25432.0,0.0016989964642561972
289,88.0,-1.414316301030611,25520.0,0.001492432469438592
290,88.0,-18.10162616012484,25608.0,0.0017093293215359815
291,88.0,-10.52785285897109,25696.0,0.0020222625621086495
292,88.0,-6.799715100700345,25784.0,0.0014556918626608835
293,88.0,-10.125882003541903,25872.0,0.0020763529332312332
